game_id,season,week,game_type,team,opponent,team_score,opp_score,win,tie,giveaways,off_third_down_pct,takeaways,opp_third_down_pct,turnover_margin
2023_11_TB_SF,2023,11,REG,SF,TB,27.0,14.0,1,0,0.0,0.4,2.0,0.5,2.0
2023_11_NYJ_BUF,2023,11,REG,BUF,NYJ,32.0,6.0,1,0,1.0,0.38461538461538464,4.0,0.0,3.0
2023_11_SEA_LA,2023,11,REG,LA,SEA,17.0,16.0,1,0,1.0,0.2222222222222222,1.0,0.3333333333333333,0.0
2023_11_MIN_DEN,2023,11,REG,DEN,MIN,21.0,20.0,1,0,0.0,0.16666666666666666,3.0,0.4,3.0
2023_11_PHI_KC,2023,11,REG,KC,PHI,17.0,21.0,0,0,2.0,0.47058823529411764,1.0,0.2727272727272727,-1.0
2023_12_GB_DET,2023,12,REG,DET,GB,22.0,29.0,0,0,3.0,0.4666666666666667,0.0,0.45454545454545453,-3.0
2023_12_WAS_DAL,2023,12,REG,DAL,WAS,45.0,10.0,1,0,0.0,0.6,1.0,0.4666666666666667,1.0
2023_12_SF_SEA,2023,12,REG,SEA,SF,13.0,31.0,0,0,1.0,0.2727272727272727,2.0,0.45454545454545453,1.0
2023_12_MIA_NYJ,2023,12,REG,NYJ,MIA,13.0,34.0,0,0,2.0,0.35714285714285715,3.0,0.6875,1.0
2023_12_NO_ATL,2023,12,REG,ATL,NO,24.0,15.0,1,0,2.0,0.5,2.0,0.42857142857142855,0.0
2023_12_PIT_CIN,2023,12,REG,CIN,PIT,10.0,16.0,0,0,1.0,0.2,1.0,0.47058823529411764,0.0
2023_12_JAX_HOU,2023,12,REG,HOU,JAX,21.0,24.0,0,0,0.0,0.46153846153846156,1.0,0.5384615384615384,1.0
2023_12_TB_IND,2023,12,REG,IND,TB,27.0,20.0,1,0,1.0,0.18181818181818182,2.0,0.38461538461538464,1.0
2023_12_NE_NYG,2023,12,REG,NYG,NE,10.0,7.0,1,0,1.0,0.3076923076923077,3.0,0.2857142857142857,2.0
2023_12_CAR_TEN,2023,12,REG,TEN,CAR,17.0,10.0,1,0,0.0,0.18181818181818182,1.0,0.375,1.0
2023_12_LA_ARI,2023,12,REG,ARI,LA,14.0,37.0,0,0,0.0,0.35294117647058826,1.0,0.5,1.0
2023_12_CLE_DEN,2023,12,REG,DEN,CLE,29.0,12.0,1,0,1.0,0.42857142857142855,3.0,0.15384615384615385,2.0
2023_12_KC_LV,2023,12,REG,LV,KC,17.0,31.0,0,0,0.0,0.5,0.0,0.45454545454545453,0.0
2023_12_BUF_PHI,2023,12,REG,PHI,BUF,37.0,34.0,1,0,2.0,0.36363636363636365,1.0,0.5909090909090909,-1.0
2023_12_BAL_LAC,2023,12,REG,LAC,BAL,10.0,20.0,0,0,4.0,0.4666666666666667,0.0,0.3076923076923077,-4.0
2023_12_CHI_MIN,2023,12,REG,MIN,CHI,10.0,12.0,0,0,4.0,0.2222222222222222,2.0,0.4444444444444444,-2.0
2023_13_SEA_DAL,2023,13,REG,DAL,SEA,41.0,35.0,1,0,0.0,0.5714285714285714,1.0,0.6428571428571429,1.0
2023_13_DEN_HOU,2023,13,REG,HOU,DEN,22.0,17.0,1,0,0.0,0.25,3.0,0.0,3.0
2023_13_LAC_NE,2023,13,REG,NE,LAC,0.0,6.0,0,0,1.0,0.2857142857142857,0.0,0.3333333333333333,-1.0
2023_13_DET_NO,2023,13,REG,NO,DET,28.0,33.0,0,0,2.0,0.5,0.0,0.46153846153846156,-2.0
2023_13_ATL_NYJ,2023,13,REG,NYJ,ATL,8.0,13.0,0,0,3.0,0.13333333333333333,0.0,0.2857142857142857,-3.0
2023_13_ARI_PIT,2023,13,REG,PIT,ARI,10.0,24.0,0,0,1.0,0.36363636363636365,0.0,0.5882352941176471,-1.0
2023_13_IND_TEN,2023,13,REG,TEN,IND,28.0,31.0,0,0,2.0,0.35294117647058826,1.0,0.21428571428571427,-1.0
2023_13_MIA_WAS,2023,13,REG,WAS,MIA,15.0,45.0,0,0,1.0,0.42857142857142855,0.0,0.5384615384615384,-1.0
2023_13_CAR_TB,2023,13,REG,TB,CAR,21.0,18.0,1,0,1.0,0.4,1.0,0.2,0.0
2023_13_CLE_LA,2023,13,REG,LA,CLE,36.0,19.0,1,0,0.0,0.3333333333333333,1.0,0.4375,1.0
2023_13_SF_PHI,2023,13,REG,PHI,SF,19.0,42.0,0,0,0.0,0.5333333333333333,0.0,0.7272727272727273,0.0
2023_13_KC_GB,2023,13,REG,GB,KC,27.0,19.0,1,0,0.0,0.5,1.0,0.6363636363636364,1.0
2023_13_CIN_JAX,2023,13,REG,JAX,CIN,31.0,34.0,0,0,0.0,0.4,1.0,0.5714285714285714,1.0
2023_14_NE_PIT,2023,14,REG,PIT,NE,18.0,21.0,0,0,1.0,0.21428571428571427,1.0,0.3076923076923077,0.0
2023_14_TB_ATL,2023,14,REG,ATL,TB,25.0,29.0,0,0,1.0,0.38461538461538464,0.0,0.375,-1.0
2023_14_LA_BAL,2023,14,REG,BAL,LA,37.0,31.0,1,0,1.0,0.3333333333333333,0.0,0.375,-1.0
2023_14_DET_CHI,2023,14,REG,CHI,DET,28.0,13.0,1,0,0.0,0.42857142857142855,3.0,0.4,3.0
2023_14_IND_CIN,2023,14,REG,CIN,IND,34.0,14.0,1,0,2.0,0.2727272727272727,1.0,0.2727272727272727,-1.0
2023_14_JAX_CLE,2023,14,REG,CLE,JAX,31.0,27.0,1,0,3.0,0.2222222222222222,4.0,0.4117647058823529,1.0
2023_14_CAR_NO,2023,14,REG,NO,CAR,28.0,6.0,1,0,1.0,0.3,2.0,0.4,1.0
2023_14_HOU_NYJ,2023,14,REG,NYJ,HOU,30.0,6.0,1,0,1.0,0.4,0.0,0.08333333333333333,-1.0
2023_14_MIN_LV,2023,14,REG,LV,MIN,0.0,3.0,0,0,3.0,0.21428571428571427,0.0,0.4,-3.0
